objid,ra,dec,u,g,r,i,z,redshift
1237670955717230662,30.7177086705978,-9.55257890867921,18.83624,17.31734,16.5723,16.13135,15.82474,0.07281438
1237666301094920488,55.9233959052242,0.360928432984006,18.58402,16.92434,16.06256,15.58217,15.24542,0.0728124
1237649962457301104,54.8881840330139,-6.54201699807576,19.46546,17.82151,16.94532,16.53046,16.2055,0.07280552
1237679338960453694,40.177768403755,-7.17895243105242,18.44693,16.88151,16.31178,15.95236,15.7465,0.07279702
1237652900765302882,39.7766589422735,-8.23945143622549,18.68732,17.6078,17.2721,16.99467,16.94053,0.07279288
1237670956249710678,20.5486299811219,-9.69849060863262,18.651,16.67259,15.76727,15.33887,15.01617,0.07278118
1237670955181801479,34.1704919350774,-9.66942211898602,17.68658,16.60292,16.11411,15.6872,15.56081,0.07275923
1237663782590546042,8.64166810899992,-1.21598001451242,19.1647,17.24034,16.28466,15.83199,15.48508,0.07275326
1237653652918501565,23.1595018188216,14.9377822713946,20.51729,18.5884,17.78013,17.3972,17.09067,0.07274821
1237652900225941579,34.0300272302557,-9.15514758062711,18.92461,17.86422,17.45908,17.11566,17.01422,0.07273856
1237653500970729621,39.8556798043575,-8.68740489885183,20.1671,18.36433,17.48353,17.09509,16.78971,0.07272651
1237649918967546118,19.2886703849335,13.8976711352886,19.22243,17.9568,17.26707,16.86574,16.55169,0.07271876
1237653501507338394,39.1855779240425,-8.43755500315901,17.85591,16.2952,15.50202,15.0891,14.75582,0.07271648
1237663275781521574,2.8768564331011,-1.15676678615129,19.01807,17.85321,17.33778,16.9872,16.80308,0.07271417
1237657584949854333,39.4356524063338,-0.861692626943597,19.89598,18.29612,17.60567,17.28247,17.03603,0.07271102
1237657190369132776,1.85092436604293,-0.511214320473809,19.06869,17.90286,17.45231,17.10778,16.96238,0.07270871
1237670956792086536,33.2266365395214,-8.59393770983137,19.41721,18.04309,17.3554,16.91884,16.67533,0.07270619
1237649918432116898,22.6326894646434,13.1480018086786,18.09632,16.63629,15.86544,15.44558,15.13835,0.07270397
1237670955718672488,34.0787098975444,-9.30929419312714,19.57652,17.84006,17.09362,16.68461,16.38503,0.0726928
1237649919506645123,24.5469175127982,13.9220299024321,20.17476,18.07498,17.03603,16.55551,16.16256,0.07268868
1237652900225941564,33.9948484520106,-9.18046720000546,18.44194,16.99619,16.2999,15.90817,15.59241,0.0726852
1237666407922598043,38.9417980393922,-0.191528519502633,19.75502,18.0372,17.18536,16.80914,16.54547,0.0726849
1237657071697723555,31.4027389402067,0.686895849139719,19.67888,18.19451,17.45609,17.04956,16.72159,0.07268456
1237653502044405895,39.5479711656038,-7.90291893616393,18.86918,17.66879,17.24813,16.95396,16.80836,0.07268065
1237653650772721774,26.98587735687,12.9330089122561,18.28818,17.1271,16.53461,16.09681,15.89748,0.07267784
1237663783676215430,35.7891502154261,-0.346462532199624,19.65364,18.40647,17.80531,17.42678,17.19568,0.07267117
1237663204919738544,12.7274885721812,0.766665570038116,19.77971,18.26471,17.32858,16.8054,16.4183,0.07266842
1237653651843973278,21.2721044789417,14.3260333136111,18.87853,17.42899,16.75353,16.3848,16.08341,0.07266413
1237657191981514857,5.80144604055914,0.665656744873679,19.82757,18.04088,17.29327,16.91083,16.65753,0.07265766
1237670957328433322,32.1178322681749,-8.19763703411024,18.69447,17.43027,16.85639,16.47796,16.273,0.07265659
1237678617434652788,38.3963215953186,0.962296359062754,18.45859,16.4832,15.52071,15.10088,14.78278,0.07264965
1237652629105541224,16.244589340331,-10.6328299278803,19.37269,18.26777,17.76951,17.46166,17.25015,0.07264114
1237652899691626714,39.9500656441521,-9.00512937908521,18.3416,16.58522,15.75695,15.34444,15.04387,0.07263467
1237678617974407253,44.9735687922288,1.16004191806376,19.06544,17.68254,17.03934,16.68064,16.43833,0.07262332
1237663784204566715,16.4504117268019,0.0594249939864109,19.24783,17.38045,16.47356,16.06922,15.76255,0.07261487
1237679438282358963,45.9526818202857,-6.49206882833901,20.2936,18.38873,17.45813,16.92801,16.50955,0.07260565
1237653651309527198,26.8949318732114,13.534337289615,18.60439,17.2371,16.58767,16.19749,15.94815,0.07259029
1237678437019091230,45.8521376384216,0.953995660237531,19.28721,17.84486,17.20816,16.87236,16.62893,0.07258749
1237653651307561093,22.389722070879,13.8933518794134,19.05751,18.04284,17.66186,17.41683,17.33927,0.07258663
1237663277929005133,2.77965500313775,0.430210324043958,19.40315,18.10715,17.56439,17.2112,17.02179,0.07258014
1237663784750809289,37.8282607397208,0.551150325994255,20.83254,18.4792,17.64537,17.17462,16.78449,0.07256689
1237663782602670192,36.2558977012397,-1.225185807727,19.32097,18.11757,17.5629,17.19467,17.01362,0.07256108
1237649918432051452,22.4189222706276,13.2132052640255,18.95465,17.72465,17.0569,16.69638,16.45025,0.0725593
1237663277929070603,2.93199380738076,0.522910326148609,19.44289,18.07647,17.53563,17.16309,17.01996,0.07254893
1237645943973609616,44.2888025842743,0.893509777461581,19.60432,18.24687,17.54662,17.18493,16.93261,0.07254888
1237653651308609677,24.746606679804,13.695802836025,19.02393,17.06754,16.13067,15.67877,15.3225,0.07254159
1237679437742800955,39.6791037344924,-7.28796105330686,17.85968,16.02454,15.11972,14.67699,14.38849,0.07253495
1237653650772918400,27.4730821628598,12.9308159453096,20.04287,18.11481,17.13735,16.67496,16.31187,0.07253112
1237670955177476207,24.21769400059,-10.3957811715685,19.19814,17.31143,16.56488,16.20514,15.94434,0.07252839
1237663784216297561,43.1582148756124,0.00677502714208325,18.69666,17.32614,16.6376,16.19993,15.9555,0.07252513
1237670955176493205,21.8837127568513,-10.4682870230034,19.85687,18.23124,17.36166,16.87289,16.54783,0.07252293
1237649918430675102,19.2984919842108,13.4132260610451,19.74972,17.90138,16.99553,16.56556,16.26128,0.0725186
1237663204922622111,19.3718243941969,0.671197462328646,18.48889,17.08771,16.41438,15.98775,15.69458,0.07251754
1237657189835014281,8.1154499462321,-0.924100351615214,18.97201,16.93444,15.98975,15.54119,15.20412,0.07250993
1237652947997229154,19.6154783136923,-9.43513381921522,17.88409,16.1105,15.25579,14.79267,14.48229,0.0725055
1237663238205276453,57.4459481734142,-0.298113677141883,19.56232,18.01924,17.19654,16.72957,16.40684,0.07249197
1237652629105934401,17.0864251394892,-10.5167609465603,19.16565,17.86729,17.25996,16.88908,16.6196,0.07249189
1237666406847545508,35.9513710354871,-0.982785429919116,19.06459,17.19231,16.30984,15.89115,15.58391,0.07248956
1237652900758945975,25.1182706568854,-9.25328909635816,19.00802,17.34297,16.46691,16.04152,15.73651,0.07248936
1237652901828100206,14.4513107287087,-8.92307568735869,19.31842,17.6498,16.76327,16.31008,15.9932,0.07248285
1237653651309592767,27.0807803623584,13.4476208231949,19.1197,17.89619,17.36097,17.0115,16.78817,0.07248209
1237663204922622123,19.3793157317124,0.780778535472872,18.20985,16.82355,16.17202,15.75579,15.51608,0.07247223
1237652946922635368,17.6033112531867,-10.1887688027498,19.30223,17.82397,17.14607,16.70888,16.46708,0.07246896
1237657189832982752,3.51127272373054,-1.00691287301242,18.93994,17.55646,16.99474,16.61372,16.469,0.0724676
1237649918968135848,20.6650648445129,13.7501002031505,18.30126,17.25559,16.79529,16.43752,16.27722,0.07246645
1237666406847545547,36.0203647782998,-0.983982259226672,20.12502,18.15227,17.2335,16.80033,16.49556,0.0724505
1237663783139344593,35.795971344003,-0.739073942869834,19.01999,17.92598,17.64141,17.44129,17.29302,0.07244637
1237670955178197107,25.8824308085629,-10.3472318756032,19.34864,18.27995,17.92921,17.6249,17.51057,0.07243606
1237657191443923133,4.27960518129396,0.330436717941179,19.75511,18.29145,17.50863,17.06837,16.74862,0.07243433
1237657071693922441,22.7500018232072,0.663174223060784,19.2181,17.9705,17.52636,17.22056,17.0628,0.07243408
1237679167158747244,23.780163186303,15.4508703550321,19.50879,17.60518,16.60417,16.08122,15.69515,0.07243264
1237679437744046255,42.5519574493965,-7.08493163189081,21.1244,18.38439,17.42899,16.93379,16.51843,0.07242872
1237653650769445062,19.3254202818916,13.7096614272449,18.78796,17.70489,17.32654,17.01138,16.95684,0.07242486
1237652942638809294,0.928867956957845,14.4121745498037,19.99352,17.97237,17.03421,16.54589,16.17451,0.07241792
1237670955715788902,27.4102862870786,-9.7115814212226,19.27285,18.1383,17.65916,17.32351,17.18128,0.07241046
1237660241923080363,47.2874310574576,1.0111044527279,19.30701,18.24284,17.65649,17.24208,17.06977,0.07240793
1237663204922622114,19.3729792571893,0.761827338140519,18.59809,17.47624,16.99492,16.61913,16.4454,0.07238519
1237649962456776906,53.7982925138149,-6.7651146207264,18.57862,17.82835,17.20233,16.97475,16.80924,0.0723798
1237657190909411558,9.66451239737114,-0.109879475580609,20.26103,18.2531,17.31952,16.78355,16.36245,0.07237677
1237653651844038857,21.3947389135363,14.345941510391,19.27372,17.98951,17.43255,17.13247,17.01963,0.0723751
1237678617434980462,39.1291999963316,0.986858099900011,19.21693,18.11285,17.60739,17.21559,17.0426,0.07237449
1237663783139344635,35.8788216469759,-0.800129906471255,19.32505,17.5427,16.72951,16.36208,16.05707,0.07236521
1237649918971019380,27.3798913336585,13.11107923595,19.75829,17.69214,16.72334,16.26581,15.92182,0.0723503
1237666301631856827,56.0010791081682,0.67824005023143,19.29484,17.37513,16.43957,15.99631,15.66331,0.07235021
1237663783675822320,34.9367253952789,-0.318547732143275,19.67785,17.71882,16.83943,16.43813,16.13036,0.07234754
1237673699669442749,39.6238813821277,-7.53881296983473,19.6095,17.70317,16.78359,16.37505,16.02894,0.07233942
1237657190369394849,2.40118286304886,-0.466164957670511,18.25663,16.39471,15.48004,15.02849,14.68523,0.07233823
1237663782590808252,9.26999342767569,-1.15994126696734,19.41226,17.77355,16.99323,16.59105,16.32424,0.07232726
1237653650772918467,27.4433245635036,12.8682527829855,19.70049,18.24934,17.61399,17.23102,17.04309,0.07232682
1237678437018828973,45.2642233230556,1.02355697044319,20.58909,18.66354,17.633,17.07516,16.64252,0.07230912
1237666408456519780,32.1416549047959,0.276978518164173,19.16582,18.07525,17.65397,17.43104,17.33773,0.07229657
1237657586562105471,43.0922791879373,0.255644972356708,20.35474,18.56047,17.65785,17.20663,16.88646,0.07228607
1237663716017438854,7.10246984061143,0.442301065031615,18.98272,17.84477,17.45358,17.16929,17.08663,0.07227993
1237663716016849021,5.7343697039953,0.418912098267028,19.36317,17.57698,16.70392,16.27312,15.9422,0.07227825
1237663783675953291,35.1966816845012,-0.404160326704942,19.59719,17.77919,16.92213,16.48074,16.16397,0.07227194
1237652946922504378,17.3879658931988,-10.2199933664249,18.64951,16.79741,15.90696,15.50114,15.17956,0.07226609
1237652615668564087,25.0958868811312,-10.5846830074464,18.89133,16.97889,16.10801,15.67113,15.33783,0.07225666
1237653651844235386,21.9092615905547,14.3555558148273,18.04801,16.62522,15.87059,15.46481,15.18245,0.07225497
1237649961381462118,50.2820348829757,-8.03891632242335,20.1235,18.48553,17.63505,17.20283,16.8716,0.07225177
1237663783137902766,32.5706508257039,-0.682662255187132,18.65033,17.06227,16.28698,15.86191,15.55727,0.07224938
1237649920042467506,22.0710861228704,14.4000392624782,19.41282,18.05802,17.40869,17.03521,16.76109,0.07223678
1237660241388110072,51.5285138537149,0.545043219560795,19.6296,18.51916,17.96439,17.64846,17.40443,0.07223397
1237663783677853831,39.609339019371,-0.290984819371018,19.42421,17.69947,16.81839,16.34107,15.98995,0.07222993
1237666340801085546,20.0040853909859,1.05472579149598,19.76482,18.13668,17.27846,16.81036,16.44713,0.07222796
1237656495114092629,0.973983069260044,14.5672316767298,18.86869,17.25429,16.35538,15.88843,15.54285,0.07222748
1237663784199127284,4.00665836852444,0.180066346148463,17.95988,15.99942,15.09356,14.67565,14.37222,0.0722256
1237652900234658098,54.0953112946902,-6.85988262066184,19.71225,17.70914,16.71531,16.24977,15.90713,0.07222021
1237663716017307735,6.78222478294731,0.561201063787826,19.3856,18.07346,17.47344,17.10646,16.90011,0.07221882
1237666339189948528,18.7754213675389,-0.114775748603351,19.97692,18.1445,17.2268,16.76491,16.41808,0.07221638
1237666408459862106,39.8297447811174,0.248379114992084,17.80409,16.01814,15.16969,14.72324,14.42049,0.07221202
1237657071697723447,31.3998879355718,0.781018566057957,18.42789,17.0286,16.65499,16.20288,16.09976,0.07220529
1237663783142097091,42.1474509479076,-0.678645240835443,20.2891,18.44689,17.57305,17.15535,16.84606,0.07219991
1237678617974472857,45.1960944606497,1.12685289272045,20.00742,18.00218,17.03055,16.57295,16.20247,0.07219642
1237666407916240984,24.3980276985395,-0.135219444674602,17.63315,16.01736,15.21957,14.81746,14.50655,0.07219358
1237649920576127167,14.6090201641485,15.4235629701436,20.25851,18.3226,17.39915,16.95051,16.60989,0.07218863
1237663716016980048,6.02033710940776,0.447741249490692,19.70445,17.82588,16.92968,16.50998,16.21108,0.07217589
1237649920044499012,26.8942368105049,14.1148758184655,19.49061,17.31069,16.35792,15.90424,15.6019,0.07217561
1237649918432116906,22.6573185020976,13.2144440724829,20.53119,18.00989,16.81472,16.13656,15.67889,0.07217443
1237673700205002967,37.0734383533259,-9.21926037699706,18.82528,17.62655,17.14783,16.8838,16.70477,0.07217189
1237649954405941393,25.362358869695,14.3492842992284,19.24864,17.9599,17.43882,17.1376,16.91281,0.07216766
1237652946922504289,17.3148861994104,-10.3221795759077,19.73487,17.62907,16.70799,16.28896,15.98893,0.07215199
1237679437743653056,41.7095611630223,-7.22504354728718,18.70896,17.11183,16.3253,15.92317,15.63744,0.07215024
1237663783675822328,34.9437371369661,-0.336888223867711,18.42133,17.04474,16.40436,16.07844,15.87319,0.07214443
1237653653455569099,23.7468804716038,15.3286776372243,19.47812,18.02919,17.4405,17.0454,16.8273,0.07214031
1237663784216428747,43.5187369244341,0.158298704142564,19.06516,17.72884,17.06098,16.64323,16.46008,0.07213722
1237679437743063177,40.3597312202889,-7.30714482583476,18.76148,17.1522,16.39478,15.99733,15.75993,0.07213268
1237649961921872063,58.3114400994984,-6.47427571733749,19.87599,18.55412,17.93898,17.5277,17.30177,0.07212607
1237663784747991173,31.4100228736445,0.55173742802348,20.16158,18.44479,17.50614,17.05138,16.73411,0.07212279
1237652900234658011,54.1076224014441,-6.80985604507164,19.67937,17.48909,16.56079,16.15422,15.94161,0.07210705
1237679167158747275,23.84433560093,15.3512593058487,19.84582,17.84156,16.86466,16.38333,16.0437,0.07209532
1237666301631594703,55.5328617001423,0.781873945131367,19.26514,18.12227,17.70007,17.36875,17.15125,0.07209394
1237679167158747217,23.7608174881216,15.4877271148626,18.01143,16.00246,15.03305,14.57616,14.22254,0.07209107
1237678437018763317,45.1701667002254,1.04998737883957,18.81443,16.73743,15.74242,15.26539,14.87457,0.07207473
